Localidad;Temperatura;ppm;Peso_bollante;Volumen cm;Largo;Ancho ;Alto;Peso_total;Margen_crecimiento;Peso_seco_concha;Pseco_mb;Peso_libre_ceniza;r3;pendiente;extensi¢n_max;carga_max;ph Promedio (25øC);Salinidad;Temperatura ;Alcalinidad_total (æmol kg-1);pCO2 (æatm);?calcita;?aragonita
Quintay;10øC;500ppm;0.0078;-0.68292287;-0.070;0.400;-0.150;0.024;0.418;0.187;0;0;1;335;0;73;800.975;33.275;10.6;1.998.606.805;2.329.325.713;2.515.312.539;1.575.498.759
Chilo‚;10øC;500ppm;0.0082;1.371.221.086;0.110;0.080;0.310;0.016;0.240;0.127;0.0133;0.0011;0.98271;159;0.18578;33;7.937;30.87;11.19;2.146.492.518;4.307.197.137;2.670.750.188;1.686.996.778
Chilo‚;10øC;500ppm;0.0065;1.772.668.997;0.400;0.210;0.020;0.001;0.322;0.224;0.023;0.0016;1;391;0;59;7.937;30.87;11.19;3.607.929.733;7.272.231.326;4.555.709.065;2.877.643.348
Chilo‚;10øC;500ppm;0.0029;-0.024570081;0.040;-0.280;0.170;0.007;0.418;0.092;0.0063;0.0009;0.81257;468;0.16391;76;7.937;30.87;11.19;2.440.439.834;4.904.181.459;3.049.521.555;1.926.250.182
Chilo‚;10øC;500ppm;-0.00105;0.768002803;0.070;0.530;0.030;0.022;0.312;0.061;0.0042;0.0004;0.97631;525;0.12859;72;7.937;30.87;11.19;3.423.130.557;6.897.620.974;4.317.165.812;2.726.965.946
Chilo‚;10øC;500ppm;0.0033;116.414.671;0.230;0.340;0.170;0.005;0.284;0.078;0.0087;0.0012;0.91314;177;0.16891;33;7.937;30.87;11.19;3.979.821.549;8.025.931.038;5.035.857.696;3.180.932.362
Chilo‚;10øC;500ppm;0.0061;0.803372768;0.220;0.280;0.080;0.006;0.292;0.067;0.0063;0.0006;0.94746;694;0.11922;79;7.937;30.87;11.19;2.405.764.693;4.833.781.102;3.004.827.156;1.898.018.673
Chilo‚;10øC;500ppm;-0.0093;1.277.701.545;0.030;0.370;0.070;0.014;0.278;0.126;0.0132;0.0015;1;293;0;39;7.937;30.87;11.19;4.155.348.465;8.381.598.067;5.262.520.189;3.324.105.205
Chilo‚;10øC;500ppm;-0.0258;2.326.853.291;0.060;0.150;0.570;0.002;0.372;0.156;0.0193;0.0011;0.98904;237;0.19188;49;7.937;30.87;11.19;3.019.735.276;6.079.644.367;3.796.599.736;2.398.146.988
Chilo‚;10øC;500ppm;0.0025;0.130236147;0.000;0.040;0.020;0.007;0.250;0.092;0.0093;0.0007;0.84394;397;0.09891;38;7.937;30.87;11.19;2.969.165.676;5.977.074.997;3.731.358.216;2.356.936.757
